一	one	eins
調 訁➞言 周✽	tune	stimmen
談 訁➞言 炎✽	discuss	diskutieren
諾 訁➞言 若✽	consent	Zustimmung
諭 訁➞言 兪✽	rebuke	ermahnen
式 弋✽ 工	style	Stil
試 訁➞言 式✽	test	probieren
弐 一 弋 二✽ 貳❄	II (two)	II. (zwei)
域 ⼟➞土 或✽	range	Region
賊 ⾙➞貝 戎 則✽	burglar	plündern
栽 𢦏✽ 土 ⼽➞戈 木	plantation	Plantage
載 𢦏✽ 土 ⼽➞戈 車	load	beladen
茂 艹➞艸 戊✽	overgrown	bewachsen
戚 厂 尗✽ 上 小	relatives	Verwandte
成 𠂊➞勹 ⼽➞戈	turn into	werden zu
城 ⼟➞土 成✽	castle	Burg
誠 訁➞言 成✽	sincerity	Aufrichtigkeit
威 戍➞戌 女	intimidate	einschüchtern
滅 氵➞水 戌➞戍 火	destroy	Vernichtung
減 氵➞水 咸✽	dwindle	verringern
蔑 艹➞艸 ⺫➞目 戍	revile	herabsetzen
桟 ⽊➞木 戋➞戔✽ 棧❄	scaffold	Gerüst
銭 釒➞金 戋➞戔✽ 錢❄	coin	Münze
浅 氵➞水 戋➞戔✽ 淺❄	shallow	seicht
止 卜	stop	stoppen
歩 止 少 步❄	walk	spazieren
渉 氵➞水 歩 涉❄	ford	Furt
頻 歩 頁 頻❄	repeatedly	häufig
肯 止 月➞肉	agreement	bejahen
企 𠆢➞人 止	undertake	unternehmen
武 一 弋 止	warrior	Krieger
賦 ⾙➞貝 武✽	levy	auferlegen
正 一 止	correct	richtig
証 訁➞言 正✽ 證❄	evidence	Beweis
政 正✽ 攵➞攴	politics	Politik
定 宀 正✽	determine	bestimmt
錠 釒➞金 定✽	lock	Schloss
走 土 龰➞止	run	laufen
超 ⾛➞走 召✽	transcend	übersteigen
越 ⾛➞走 戉✽	surpass	überschreiten
赴 ⾛➞走 卜✽	proceed	sich begeben nach
是 日 正 龰➞止	just so	genau so
題 是✽ 頁	topic	Thema
堤 ⼟➞土 是✽	dike	Deich
建 聿 廴	build	errichten
鍵 釒➞金 建✽	key	Schlüssel
延 正 廴	prolong	verlängern
誕 訁➞言 延✽	nativity	Geburt
礎 ⽯➞石 楚✽	cornerstone	Grundstein
婿 ⼥➞女 胥	bridegroom	Bräutigam
衣 亠	garment	Gewand
裁 𢦏✽ 土 ⼽➞戈 衣	tailor	schneidern
装 壮✽ 衣 裝❄	attire	Aufmachung
裏 衣 里✽	back	Rückseite
哀 衣 口	pathetic	Erbarmen
遠 袁✽ ⻌➞辶	distant	fern
猿 ⺨➞犬 袁✽	monkey	Affe
初 衤➞衣 刀	first time	erstmals
巾	towel	Tuch
布 𠂇 巾 父✽	linen	Stoff
帆 ⼱➞巾 凡✽	sail	Segel
幅 ⼱➞巾 畐✽	hanging scroll	Rollbild
帽 ⼱➞巾 冒✽	cap	Mütze
幌 ⼱➞巾 晃	canopy	Plane
幕 莫✽ 巾	curtain	Vorhang
錦 釒➞金✽ 帛	brocade	Brokat
市 亠 巾 止✽	market	Markt
柿 ⽊➞木 市✽	persimmon	Persimone
姉 ⼥➞女 市✽	elder sister	ältere Schwester
肺 月➞肉 市	lungs	Lunge
帯 丗 冖 巾 帶❄	sash	Gurt
滞 氵➞水 帯✽ 滯❄	stagnate	stocken
刺 朿✽ 刂➞刀	thorn	Stachel
制 ⺧➞牛 巾 刂➞刀	system	System
製 制✽ 衣	made in...	herstellen
転 ⾞➞車 云 轉❄	revolve	rotieren
芸 艹➞艸 云 藝❄	technique	Kunst
雨	rain	Regen
雲 ⻗➞雨 云✽	cloud	Wolke
曇 日 雲	cloudy weather	bewölkt
霜 ⻗➞雨 相✽	frost	Frost
雪 ⻗➞雨 彐➞彑	snow	Schnee
雷 ⻗➞雨 田 畾✽	thunder	Donner
電 ⻗➞雨 申✽	electricity	Elektrizität
天 一 大	heavens	Himmel
妖 ⼥➞女 夭✽	bewitched	bestrickend
