一	one	eins
曹 一 曲 日 曽✽	cadet	Kamerad
遭 曹✽ ⻌➞辶	encounter	stoßen auf
槽 ⽊➞木 曹✽	vat	Bottich
斗 丶 丶	Big Dipper	Großer Wagen
料 ⽶➞米 斗	fee	Gebühr
科 ⽲✽➞禾 斗	department	Fakultät
図 囗 ⺍ 乂 圖❄	map	Landkarte
用 月 丨	utilize	gebrauchen
庸 广 ⺕➞彑 用✽	comfortable	brauchbar
備 亻➞人 艹➞艸 厂 用	equip	ausrüsten
昔 龷 廾 日	once upon a time	Es war einmal...
錯 釒➞金 昔✽	confused	verworren
借 亻➞人 昔✽	borrow	entleihen
惜 忄➞心 昔✽	pity	schade
措 扌➞手 昔✽	set aside	beiseite legen
散 龷 月 攵➞攴	scatter	zerstreuen
庶 广 廿 灬➞火 炗	commoner	gewöhnlich
遮 庶✽ ⻌➞辶	intercept	blockieren
席 庶 巾	seat	Sitz
度 庶✽ 又	degrees	Grad
渡 氵➞水 度✽	transit	überqueren
奔 ⼤➞大 卉	bustle	herumlaufen
噴 ⼝➞口 賁✽	erupt	speien
墳 ⼟➞土 賁✽	tomb	Grabhügel
憤 忄➞心 賁✽	aroused	empört
焼 ⽕➞火 尭✽➞堯 燒❄	bake	backen
暁 ⽇➞日 尭✽➞堯 曉❄	daybreak	Tagesanbruch
半 丷➞八 二 丨 牛	half	Hälfte
判 半✽ 刂➞刀	judgment	urteilen
伴 亻➞人 半✽	consort	begleiten
畔 田 半✽	paddy ridge	Feldrain
拳 𠔉✽ 手	fist	Faust
券 𠔉✽ 刀	ticket	-karte
巻 𠔉✽ 己 卷❄	scroll	Rolle
圏 囗 巻✽ 圈❄	sphere	Sphäre
片	one-sided	einseitig
版 ⽚➞片 反✽	printing block	Druckplatte
之 亠	of	von
乏 丿 之	destitution	knapp
芝 艹➞艸 之✽	turf	Rasen
不 一 丿 丨	negative	negativ
否 不✽ 口	negate	verneinen
杯 ⽊➞木 不✽	cupfuls	Becher
矢 𠂉 大	dart	Wurfpfeil
知 ⽮➞矢 口	know	wissen
智 知 日	wisdom	Weisheit
族 ⽅➞方 𠂉 矢	tribe	Sippe
挨 扌➞手 矣✽ 厶 矢	shove	aufstoßen
矯 ⽮➞矢 喬✽	rectify	begradigen
橋 ⽊➞木 喬✽	bridge	Brücke
矛 予 丿	halberd	Hellebarde
柔 矛 木	tender	sanft
務 矛✽ 攵➞攴 力	task	Aufgabe
霧 ⻗➞雨 務✽	fog	Nebel
班 ⺩➞玉 刂➞刀 王➞玉	squad	Trupp
帰 刂➞刀 帚 歸❄	homecoming	heimkehren
弓	bow	Bogen
引 弓 丨	pull	ziehen
弔 弓 丨	condolences	Beileid
弘 弓 厶 厷✽	vast	verbreiten
弥 弓 尓 彌❄	more and more	immer mehr
強 弓✽ 厶 虫 弘✽	strong	stark
弱 弓 冫 羽	weak	schwach
溺 氵➞水 弱✽	drowning	ertrinken
沸 氵➞水 弗✽	seethe	sieden
費 弗✽ 貝	expense	Kosten
第 ⺮➞竹 弟✽	No.	Nr.
弟 丷➞八 弔 丿	younger brother	jüngerer Bruder
巧 ⼯➞工 丂✽	adroit	gewandt
号 口 丂✽ 號❄	nickname	Chiffre
朽 ⽊➞木 丂✽	decay	vermodern
誇 訁➞言 夸✽	boast	prahlen
顎 咢✽ 頁	chin	Kinn
汚 氵➞水 丂 一 汙❄	dirty	schmutzig
与 丂 一 與❄	bestow	erteilen
写 冖 与 舄✽ 寫❄	copy	kopieren
潟 氵➞水 舄✽	lagoon	Lagune
身	somebody	Leib
射 ⾝➞身 寸	shoot	schießen
謝 訁➞言 射✽	apologize	sich entschuldigen
老 耂➞老 匕	old man	alter Mann
考 耂➞老 丂✽  攷	consider	erwägen
孝 耂➞老 子	filial piety	Kindespflicht
教 孝✽ 攵➞攴	teach	lehren
拷 扌➞手 考✽	torture	foltern
者 耂➞老 日 者❄	someone	Person
煮 者✽ 灬➞火 煮❄	boil	brodeln
著 艹➞艸 者✽ 著❄	renowned	auffallend
箸 ⺮➞竹 者	chopsticks	Essstäbchen
署 罒➞网 者✽ 署❄	signature	unterschreiben
暑 日 者✽ 暑❄	sultry	drückend
諸 訁➞言 者✽ 諸❄	various	allerlei
猪 ⺨➞犬 者✽ 豬❄	boar	Wildschwein
渚 氵➞水 者✽	strand	Strand
賭 ⾙➞貝 者	gamble	wetten
峡 ⼭➞山 夹➞夾✽ 峽❄	gorge	Schlucht
狭 ⺨➞犬 夹➞夾✽ 狹❄	cramped	eng
挟 扌➞手 夹➞夾✽ 挾❄	sandwiched	eingeklemmt
頬 夹➞夾✽ 頁 頰❄	cheek	Wange
阜 𠂤 十	large hill	Bühl
師 𠂤 帀	expert	Meister
帥 𠂤✽ 巾	commander	Oberbefehl
追 𠂤✽ ⻌➞辶	chase	verfolgen
官 宀 㠯	bureaucrat	Bürokrat
棺 ⽊➞木 官✽	coffin	Sarg
管 ⺮➞竹 官✽	pipe	Rohr
父	father	Vater
交 亠 父	mingle	Umgang
釜 父✽ 金	cauldron	Kessel
効 交✽ 力 效❄	merit	Wirkung
較 ⾞➞車 交✽	contrast	gegenüberstellen
校 ⽊➞木 交✽	exam	Schule
足 口 龰➞止	leg	Bein
促 亻➞人 足✽	stimulate	anregen
捉 扌➞手 足✽	nab	erwischen
距 ⻊➞足 巨✽	long-distance	Distanz
跳 ⻊➞足 兆✽	hop	hüpfen
躍 ⻊➞足 羽 隹	leap	springen
践 ⻊➞足 戋➞戔✽ 踐❄	tread	besteigen
踏 ⻊➞足 沓✽	step	betreten
踪 ⻊➞足 宗✽ 蹤❄	trail	Fußspuren
路 ⻊➞足 各✽	path	Pfad
露 ⻗➞雨 路✽	dew	Tautropfen
骨 冎 月➞肉	skeleton	Gebeine
髄 ⾻➞骨 有 ⻌➞辶 髓❄	marrow	Mark
禍 礻➞示 咼✽ 禍❄	calamity	Unheil
滑 氵➞水 骨✽	slippery	glatt
渦 氵➞水 咼✽	whirlpool	Strudel
鍋 釒➞金 咼✽	pot	Topf
過 咼✽ ⻌➞辶	overdo	übertreiben
阪 ⻖➞阜 反	Heights	Böschung
阿 ⻖➞阜 可✽	Africa	Afrika
際 ⻖➞阜 祭✽	occasion	Gelegenheit
障 ⻖➞阜 章✽	hinder	hemmen
隙 ⻖➞阜 小 日 小	chink	Spalt
陪 ⻖➞阜 咅✽	auxiliary	Beisitzer
陽 ⻖➞阜 昜✽	sunshine	Sonnenschein
陳 ⻖➞阜 東 申✽	line up	Aufstellung
防 ⻖➞阜 方✽	ward off	abwehren
附 ⻖➞阜 付✽	affixed	Anhang
院 ⻖➞阜 完✽	Inst.	Inst.
陣 ⻖➞阜 車 申✽	camp	Feldlager
降 ⻖➞阜 夅✽	descend	hinuntergehen
階 ⻖➞阜 皆✽	story	Stockwerk
陛 ⻖➞阜 比 土	highness	Majestät
隣 ⻖➞阜 米 舛 粦✽ 鄰❄	neighboring	nebenan
隔 ⻖➞阜 鬲✽	isolate	isolieren
隠 ⻖➞阜 㥯✽ 乚 隱❄	conceal	verbergen
陥 ⻖➞阜 𠂊➞勹 旧 陷❄	collapse	hineinfallen
隊 ⻖➞阜 㒸✽	regiment	Regiment
墜 隊✽ 土	crash	abstürzen
堕 陏✽ 土 墮❄	degenerate	degenerieren
随 陏✽ ⻌➞辶 隨❄	follow	folgsam
穴 宀 八	hole	Loch
空 ⽳➞穴 工✽	empty	leer
控 扌➞手 空✽	withdraw	sich zurückhalten
突 ⽳➞穴 大 突❄	stab	stechen
究 ⽳➞穴 九✽	research	forschen
窒 ⽳➞穴 至✽	plug up	verstopft
窃 ⽳➞穴 切✽ 竊❄	stealth	verstohlen
窟 ⽳➞穴 屈	cavern	Kaverne
窯 ⽳➞穴 羔✽	kiln	Brennofen
窮 ⽳➞穴 躬✽	hard up	in der Klemme
窪 ⽳➞穴 洼✽ 氵➞水 圭	depression	Senke
搾 扌➞手 窄✽	squeeze	auspressen
探 扌➞手 㓁➞穴 木	grope	ertasten
深 氵➞水 㓁➞穴 木	deep	tief
丘 斤 一	hill	Hügel
岳 丘 山 嶽❄	Point	Bergspitze
兵 丘 八	soldier	Soldat
浜 氵➞水 兵 賓✽ 濱❄	seacoast	Küste
糸 絲❄	thread	Faden
織 糹➞糸 戠✽ 識 職	weave	weben
繕 糹➞糸 善✽	darning	ausbessern
縮 糹➞糸 宿✽	shrink	schrumpfen
縦 糹➞糸 従✽ 縱❄	vertical	senkrecht
緻 糹➞糸 致✽  細	fine	minutiös
線 糹➞糸 泉✽	line	Linie
綻 糹➞糸 定	come apart at the seams	Zusammenbruch
締 糹➞糸 帝✽	tighten	zuschnüren
維 糹➞糸 隹✽	fiber	Faser
羅 罒➞网 維	gauze	Seidengaze
練 糹➞糸 東 柬✽ 練❄	practice	üben
緒 糹➞糸 者✽ 緖❄	thong	Schnurende
続 糹➞糸 売✽ 續❄	continue	fortsetzen
絵 糹➞糸 会✽ 繪❄	picture	Bild
統 糹➞糸 充✽	overall	vereinen
絞 糹➞糸 交✽	strangle	wringen
給 糹➞糸 合	salary	Gehalt
絡 糹➞糸 各✽	entwine	sich verflechten
結 糹➞糸 吉✽	tie	binden
紹 糹➞糸 召✽	introduce	vorstellen
紛 糹➞糸 分✽	distract	ablenken
経 糹➞糸 圣✽ 經❄	sutra	Sutra
終 糹➞糸 冬✽	end	Ende
級 糹➞糸 及✽	class	Klasse
紀 糹➞糸 己✽	chronicle	Chronik
紅 糹➞糸 工✽	crimson	knallrot
納 糹➞糸 内✽	settlement	einzahlen
紡 糹➞糸 方✽	spinning	spinnen
紳 糹➞糸 申✽	sire	Gentleman
約 糹➞糸 勺	promise	Versprechen
総 糹➞糸 忩✽ 總❄	general	General-
綿 糹➞糸 帛	cotton	Baumwolle
絹 糹➞糸 肙✽	silk	Seide
繰 糹➞糸 喿✽	winding	aufwinden
継 糹➞糸 米 繼❄	inherit	erben
緑 糹➞糸 隶➞彔✽ 綠❄	green	grün
縁 糹➞糸 彖✽ 緣❄	affinity	Beziehung
網 糹➞糸 罔✽	netting	Netz
縛 糹➞糸 尃✽	truss	Fesseln
縄 糹➞糸 日 日 繩❄	straw rope	Strohseil
細 糹➞糸 田➞囟✽  緻	dainty	fein
累 田 糸 畾✽ 纍❄	accumulate	anhäufen
索 十 冖 糸	cord	Seil
緊 臤 糸	tense	angespannt
繁 敏 糸 繁❄	luxuriant	üppig
紫 此✽ 糸	purple	violett
幼 幺✽ 力	infancy	Kindheit
後 彳 幺 夂	behind	hinter
幽 山 幺✽ 幺✽	faint	undeutlich
幾 幺 幺 戈 人	how many	wie viel
畿 幾✽ 田	capital suburbs	Vororte der Hauptstadt
機 ⽊➞木 幾✽	mechanism	Mechanismus
玄 亠 幺	mysterious	mysteriös
畜 玄 田	livestock	Vieh
蓄 艹➞艸 畜✽	amass	speichern
弦 弓 玄✽	bowstring	Bogensehne
擁 扌➞手 雍✽	hug	umarmen
滋 氵➞水 兹✽	nourishing	nahrhaft
磁 ⽯➞石 兹✽	magnet	Magnet
慈 兹✽ 心	mercy	Mildtätigkeit
系 丿 糸	lineage	Stammbaum
係 亻➞人 系✽	person in charge	zuständig
孫 ⼦➞子 系	grandchild	Enkel
遜 孫 ⻌➞辶	modest	anspruchslos
懸 縣✽ 心	suspend	Aufhängung
却 去✽ 卩 卻❄	instead	stattdessen
脚 月➞肉 却✽ 腳❄	shins	Schienbein
卸 午 止 卩	wholesale	Großhandel
御 彳 卸	honorable	ehrwürdig
命 令✽ 口	fate	Schicksal
令 亼 卩	orders	Befehl
零 ⻗➞雨 令✽	zero	Null
齢 ⻭➞齒 令✽ 齡❄	age	Alter
鈴 釒➞金 令✽	small bell	Glöckchen
玲 王➞玉 令✽	tinkling	klimpern
冷 冫 令✽	cool	kühl
領 令✽ 頁	jurisdiction	Hoheitsgebiet
勇 甬➞用✽ 力	courage	Mut
湧 氵➞水 勇✽	bubble up	aufwallen
通 甬✽ ⻌➞辶	traffic	Verkehr
踊 ⻊➞足 甬✽ 踴❄	jump	tanzen
疑 匕 矢 マ 疋	doubt	zweifeln
擬 扌➞手 疑✽	mimic	nachahmen
凝 冫 疑✽	congeal	erstarren
犯 ⺨➞犬 㔾➞卩✽	crime	Verbrechen
氾 氵➞水 㔾➞卩✽	widespread	weitreichend
厄 厂 㔾➞卩	unlucky	Unglück
危 厃✽ 厄	dangerous	gefährlich
範 ⺮➞竹 車 㔾➞卩✽	pattern	Muster
怨 夗✽ 夕 㔾➞卩 心	grudge	Groll
苑 艹➞艸 夗✽ 夕 㔾➞卩	garden	Lustgarten
宛 宀 夗✽ 夕 㔾➞卩	address	Adresse
腕 月➞肉 宛✽	arm	Arm
卯 丿 卩	sign of the hare	Zeichen des Kaninchens
卵 卯	egg	Ei
柳 ⽊➞木 卯✽	willow	Weidenbaum
留 厶 刀 田 丣✽	detain	bleiben
瑠 ⺩➞玉 留✽	marine blue	azurblau
貿 卯✽ 貝	trade	Kommerz
印 ⽖➞爪 卩 抑	stamp	Stempel
興 舁 𦥑 同 八	entertain	Unterhaltung
酉 西➞襾 一	sign of the bird	Zeichen des Hahns
酒 氵➞水 酉	sake	Sake
酌 ⾣➞酉 勺✽	bartending	einschenken
酎 ⾣➞酉 寸	hooch	Schnaps
酵 ⾣➞酉 孝✽	fermentation	Gärung
酷 ⾣➞酉 告✽	cruel	grausam
酬 ⾣➞酉 州✽	repay	Vergeltung
酪 ⾣➞酉 各✽	dairy products	Molkereiprodukte
酢 ⾣➞酉 乍✽	vinegar	Essig
酔 ⾣➞酉 卆➞卒✽ 醉❄	drunk	betrunken
配 ⾣➞酉 己	distribute	zuteilen
酸 ⾣➞酉 夋✽	acid	Säure
唆 ⼝➞口 夋✽	tempt	verführen
俊 亻➞人 夋✽	sagacious	hochbegabt
猶 ⺨➞犬 酋✽	waver	aufschieben
尊 酋 寸✽	revered	achten
遵 尊✽ ⻌➞辶	abide by	befolgen
豆 口	beans	Bohne
頭 ⾖✽➞豆 頁	head	Kopf
短 ⽮➞矢 豆	short	kurz
豊 曲 豆 豐❄	bountiful	reichlich
鼓 壴 支	drum	Trommel
喜 壴 口	rejoice	fröhlich
嬉 ⼥➞女 喜✽	glad	froh
樹 ⽊➞木 尌✽	timber-trees	Gehölz
皿	dish	Schale
血 皿	blood	Blut
盆 分✽ 皿	basin	Tablett
盟 明✽ 皿	alliance	Bündnis
盗 次 皿 盜❄	steal	stehlen
温 氵➞水 日 皿 溫❄	warm	warm
蓋 艹➞艸 盍	lid	Deckel
監 臣 𠂉 一 皿	oversee	überwachen
濫 氵➞水 監✽	overflow	überlaufen
鑑 釒➞金 監✽	specimen	Vorbild
藍 艹➞艸 監✽	indigo	Indigo
猛 ⺨➞犬 孟✽	fierce	wild
盛 成✽ 皿	boom	Blütezeit
塩 ⼟➞土 口 皿 鹽❄	salt	Salz
銀 釒➞金 艮✽	silver	Silber
根 ⽊➞木 艮✽	root	Wurzel
眼 ⽬➞目 艮✽	eyeball	Augapfel
恨 忄➞心 艮✽	resentment	übelnehmen
限 ⻖➞阜 艮✽	limit	begrenzen
即 艮 卩 卽❄	instant	sofort
節 ⺮➞竹 即✽ 節❄	node	Knotenpunkt
爵 ⺤➞爪 ⺫ 艮 寸	baron	Baron
退 艮 ⻌➞辶	retreat	zurückweichen
良 艮	good	gut
朗 良✽ 月 朗❄	melodious	heiter
浪 氵➞水 良✽	wandering	Wogen
娘 ⼥➞女 良✽	daughter	Tochter
狼 ⺨➞犬 良✽	wolf	Wolf
食 𠆢➞人 良	eat	essen
飯 飠➞食 反✽	meal	Mahlzeit
飲 飠➞食 欠✽	drink	trinken
飾 飠✽➞食 𠂉 巾	decorate	schmücken
飢 飠➞食 几✽	hungry	hungrig
飽 飠➞食 包✽	sated	satt
餓 飠➞食 我✽	starve	verhungern
館 飠➞食 官✽	Bldg.	Gebäude
餌 飠➞食 耳✽	feed	Futter
餅 飠➞食 并✽ 餠❄	mochi	Mochi
養 羊✽ 食	foster	ernähren
既 艮 旡➞无✽ 既❄	previously	bereits
概 ⽊➞木 既✽ 槪❄	outline	ungefähr
慨 忄➞心 既✽ 慨❄	rue	wehmütig
平 干	even	flach
坪 ⼟➞土 平✽	two-mat area	Tsubo
評 訁➞言 平✽	evaluate	bewerten
呼 ⼝➞口 乎✽	call	rufen
刈 乂✽ 刂➞刀	reap	mähen
刹 乂 木 刂➞刀 殺✽ 剎❄	moment	Moment
殺 乂 木 殳 殺❄	kill	töten
希 乂 布	hope	Hoffnung
凶 乂 凵	villain	Schurke
胸 月➞肉 匈✽	bosom	Brust
離 离✽ 隹	detach	entfernen
璃 ⺩➞玉 离✽	crystal	Lapislazuli
爽 大 爻 爻	bracing	erquickend
屯 丿 屮	barracks	Kaserne
頓 屯✽ 頁	immediate	plötzlich
純 糹➞糸 屯✽	genuine	echt
鈍 釒➞金 屯✽	dull	stumpf
辛 立 十	spicy	würzig
辞 ⾆➞舌 辛 辭❄	resign	abdanken
梓 ⽊➞木 辛	catalpa	Katalpe
宰 宀 辛	superintend	Anführer
壁 辟✽ 土	wall	Mauer
璧 辟✽ 玉	holed gem	durchtriebener Edelstein
避 辟✽ ⻌➞辶	evade	vermeiden
新 亲✽ 斤	new	neu
薪 艹➞艸 新✽	firewood	Brennholz
親 亲✽ 見	parent	Eltern
幸 土 干	happiness	glücklich
執 幸 丸	tenacious	beharrlich
摯 執 手	clasp	umklammern
報 幸 𠬝 卩 又	report	Meldung
服 月➞舟 𠬝✽ 卩 又	clothing	Kleidung
叫 ⼝➞口 丩✽	shout	schreien
糾 糹➞糸 丩✽	twist	drehen und wenden
収 丩✽ 又 收❄	income	einnehmen
卑 丿 田 丿 十 卑❄	lowly	gemein
碑 ⽯➞石 卑✽ 碑❄	tombstone	Grabstein
陸 ⻖➞阜 坴✽ 圥 土	land	Festland
睦 ⽬✽➞目 坴 圥 土	intimate	intim
勢 埶✽ 力	forces	Macht
熱 埶✽ 灬➞火	heat	Hitze
菱 艹➞艸 夌✽	diamond	Rhombus
陵 ⻖➞阜 夌✽	mausoleum	Mausoleum
亥 亠 人	sign of the hog	Zeichen des Wildschweins
核 ⽊➞木 亥✽	nucleus	Kern
刻 亥✽ 刂➞刀	engrave	schnitzen
該 訁➞言 亥✽	above-stated	betreffend
骸 ⾻➞骨 亥✽	remains	sterbliche Überreste
劾 亥✽ 力	censure	Verbrechensaufklärung
寒 宀 三 八 冫	cold	kalt
塞 宀 三 八 土	block up	aufstauen
醸 ⾣➞酉 襄✽ 釀❄	brew	brauen
譲 訁➞言 襄✽ 讓❄	defer	Abtretung
壌 ⼟➞土 襄✽ 壤❄	lot	Grundstück
嬢 ⼥➞女 襄✽ 孃❄	lass	Mädchen
毒 龶➞生 毋➞母 	poison	Gift
素 龶➞𠂹 糸	elementary	elementar
麦 龶➞來 夂 麥❄	barley	Gerste
青 龶➞生✽ 月➞丹	blue	blau
静 青✽ 争 靜❄	quiet	Stillstand
精 ⽶➞米 青✽	refined	raffiniert
請 訁➞言 青✽	solicit	bitten
情 忄➞心 青✽	feelings	Sympathie
晴 ⽇➞日 青✽	clear up	aufklaren
清 氵➞水 青✽	pure	rein
責 龶➞朿 貝	blame	Vorwurf
績 糹➞糸 責✽	exploits	Errungenschaft
積 ⽲➞禾 責✽	volume	stapeln
債 亻➞人 責✽	bond	Schuldschein
漬 氵➞水 責✽	pickling	einmachen
表 衣 土	surface	Vorderseite
俵 亻➞人 表✽	bag	Strohsäcke
潔 氵➞水 絜✽	undefiled	unbeschmutzt
契 丰 刀 大	pledge	geloben
喫 ⼝➞口 契✽	consume	verzehren
害 宀 丰 口	harm	beschädigen
轄 ⾞➞車 害✽	control	kontrollieren
割 害✽ 刂➞刀	proportion	Anteil
憲 害✽ ⺫➞目 心	constitution	Verfassung
生	life	Leben
星 日 生✽	star	Stern
醒 ⾣➞酉 星	awakening	aufwecken
姓 ⼥➞女 生✽	surname	Nachname
性 忄➞心 生✽	sex	Geschlecht
牲 牜➞牛 生✽	animal sacrifice	Tieropfer
産 产 立 生	products	Produktion
隆 ⻖➞阜 夂 生 降✽ 隆❄	hump	Erhebung
峰 ⼭➞山 夆✽ 夂 丰✽	summit	Gipfel
蜂 ⾍➞虫 夆✽ 夂 丰✽	bee	Biene
縫 糹➞糸 逢✽	sew	nähen
拝 扌➞手 一 丰 拜❄	worship	anbeten
寿 三 丿 寸 壽✽ 壽❄	longevity	Langlebigkeit
鋳 釒➞金 寿✽ 鑄❄	casting	Metallguss
春 𡗗 日	springtime	Frühling
椿 ⽊➞木 春	camellia	Kamelie
泰 𡗗 氺➞水 大✽	peaceful	friedlich
奉 𡗗 丰✽	dedicate	widmen
奏 𡗗 天	play music	musizieren
実 宀 三 人 實❄	reality	Wirklichkeit
俸 亻➞人 奉✽	stipend	Lohn
棒 ⽊➞木 奉✽	rod	Stange
僅 亻➞人 堇✽	trifle	lediglich
謹 訁➞言 菫✽ 謹❄	discreet	ergebenst
勤 菫✽ 力 勤❄	diligence	emsig
難 堇✽ 隹 難❄	difficult	schwierig
漢 氵➞水 難✽ 漢❄	Sino-	chinesisch
嘆 ⼝➞口 難✽ 嘆❄	sigh	seufzen
華 艹➞艸 丨	splendor	prachtvoll
垂 千 土	droop	baumeln
唾 ⼝➞口 垂	saliva	Speichel
睡 ⽬➞目 垂✽	drowsy	Schlummer
乗 千 木 乘❄	ride	fahren
剰 乗✽ 刂➞刀 剩❄	surplus	Überschuss
今 亼 一	now	jetzt
含 今✽ 口	include	umfassen
貪 今✽ 貝	covet	gieren
吟 ⼝➞口 今✽	versify	vortragen
念 今✽ 心	wish	Gedanke
捻 扌➞手 念✽	wrench	zwirbeln
琴 王➞玉 王➞玉 今✽	harp	Koto-Harfe
陰 ⻖➞阜 侌✽ 今 云	shade	Finsternis
予 マ 了 矛 豫❄	beforehand	vorher
序 广 予✽	preface	Vorwort
預 予✽ 頁	deposit	aufbewahren
野 ⾥➞里 予✽	plains	Feldflur
兼 䒑 ⺕➞彑 丨 丨	concurrently	gleichzeitig
嫌 ⼥➞女 兼✽	dislike	verabscheuen
謙 訁➞言 兼✽	self-effacing	Demut
鎌 釒➞金 兼✽	sickle	Sichel
廉 广 兼✽	bargain	billig
西 襾	west	Westen
価 亻➞人 覀➞西 賈✽ 價❄	value	Wert
要 覀➞西 女	need	benötigen
腰 月➞肉 要✽	loins	Lende
票 覀➞西 示	ballot	Stimmzettel
漂 氵➞水 票✽	drift	vorüberziehen
標 ⽊➞木 票✽	signpost	Markierungspfosten
栗 覀➞西 木	chestnut	Kastanie
慄 忄➞心 栗✽	shudder	schaudern
煙 ⽕➞火 垔✽	smoke	Rauch
遷 覀➞西 大 己 ⻌➞辶	transition	Übergang
覆 覀➞西 復✽	capsize	kentern
南 十 冂 丷 干	south	Süden
楠 ⽊➞木 南✽	camphor tree	Kampferbaum
献 南 犬 鬳✽ 獻❄	offering	spenden
咲 ⼝➞口 关✽	blossom	blühen
朕 月➞舟 关✽	majestic plural	Pluralis Majestatis
送 关✽ ⻌➞辶	send off	senden
門	gates	Tor
関 門 关➞丱✽ 關❄	connection	Zusammenhang
問 門✽ 口	question	Frage
閲 門 兌✽	review	inspizieren
閥 門 伐✽	clique	Clique
間 門 日	interval	Zwischenraum
簡 ⺮➞竹 間✽	simplicity	bündig
闇 門 音✽	pitch dark	düster
開 門 开➞幵	open	öffnen
閉 門 才	closed	schließen
閣 門 各✽	tower	Turm
閑 門 木	leisure	Muße
聞 門✽ 耳	hear	hören
闘 門 豆✽ 寸 鬪❄	fight	kämpfen
潤 氵➞水 閏✽	wet	nass
欄 ⽊➞木 闌✽ 欄❄	column	Kolumne
倉 亼 口	godown	Magazin
蒼 艹➞艸 倉✽	pale blue	Himmelblau
創 倉✽ 刂➞刀	genesis	Schöpfung
非 飛✽	un-	un-
俳 亻➞人 非✽	haiku	Haiku
排 扌➞手 非✽	repudiate	ausstoßen
罪 罒➞网 非	guilt	Schuld
悲 非✽ 心	sad	traurig
輩 非✽ 車	comrade	Genosse
扉 戸 非✽	front door	Vordertür
侯 亻➞人 矢	marquis	Marquis
喉 ⼝➞口 侯✽	throat	Kehle
候 亻➞人 侯✽	climate	Klima
決 氵➞水 夬✽	decide	entscheiden
快 忄➞心 夬✽	cheerful	angenehm
偉 亻➞人 韋✽	admirable	bedeutend
違 韋✽ ⻌➞辶	difference	abweichend
緯 糹➞糸 韋✽	horizontal	Breitengrad
衛 ⾏➞行 韋✽ 衞❄	defense	verteidigen
韓 𠦝 韋	Korea	Korea
干 十 乾	dry	trocknen
肝 月➞肉 干✽	liver	Leber
刊 干✽ 刂➞刀	publish	veröffentlichen
汗 氵➞水 干✽	sweat	Schweiß
軒 ⾞➞車 干✽	flats	Häuser
岸 山 厂 干	beach	Ufer
幹 𠦝 𠆢➞人 干✽	tree trunk	Baumstamm
芋 艹➞艸 于✽	potato	Kartoffel
宇 宀 于✽	eaves	Dachvorsprung
余 亼 二 小 示 餘❄	too much	allzu
除 ⻖➞阜 余✽	exclude	ausschließen
徐 彳 余✽	gradually	langsam
叙 余✽ 又 敘❄	confer	schildern
途 余✽ ⻌➞辶	route	unterwegs
斜 余✽ 斗	diagonal	diagonal
塗 氵➞水 余✽ 土	paint	bemalen
束 木 口	bundle	Bündel
勅 束 力 敕❄	imperial order	kaiserlicher Befehl
頼 束✽ 頁 賴❄	trust	Vertrauen
瀬 氵➞水 頼✽ 瀨❄	rapids	Stromschnellen
疎 ⺪➞疋✽ 束 疏❄	alienate	Entfremdung
辣 辛 束	bitter	bitter
速 束✽ ⻌➞辶	quick	schnell
整 敕 正✽	organize	regulieren
剣 僉✽ 刂➞刀 劍❄	saber	Säbel
険 ⻖➞阜 僉✽ 險❄	precipitous	steil
検 ⽊➞木 僉✽ 檢❄	examination	Beschau
倹 亻➞人 僉✽ 儉❄	frugal	sparsam
重 千 里	heavy	schwer
腫 月➞肉 重	tumor	Tumor
種 ⽲➞禾 重✽	species	Art
動 重✽ 力	move	bewegen
勲 動 灬➞火 熏✽ 勳❄	meritorious deed	Großtat
薫 艹➞艸 熏✽ 薰❄	fragrant	duften
働 亻➞人 動✽ 仂✽	work	arbeiten
衝 ⾏➞行 重✽	collide	zusammenstoßen
病 疒 丙✽	ill	krank
痴 疒 知✽ 癡❄	stupid	dumm
痘 疒 豆✽	pox	Pocken
症 疒 正✽	symptoms	Symptome
瘍 疒 昜✽	carbuncle	Geschwür
痩 疒 叟✽ 瘦❄	lose weight	abmagern
疾 疒 矢✽	rapidly	geschwind
嫉 ⼥➞女 疾✽	envy	missgünstig
痢 疒 利✽	diarrhea	Durchfall
痕 疒 艮✽	scar	Narbe
疲 疒 皮✽	tired	müde
疫 疒 殳 役✽	epidemic	Epidemie
痛 疒 甬✽	pain	Schmerz
癖 疒 辟✽	mannerism	Eigenart
癒 疒 愈✽	healing	heilen
匿 匚 若	hide	verstecken
匠 匚 斤	artisan	Zimmermann
医 匚 矢 醫❄	doctor	Arzt
匹 匚 儿➞八✽ 疋✽	equal	ebenbürtig
区 匚 乂➞品 區❄	ward	Distrikt
殴 区✽ 殳 毆❄	assault	prügeln
欧 区✽ 欠 歐❄	Europe	Europa
枢 ⽊➞木 区✽ 樞❄	hinge	Angelpunkt
抑 扌➞手 卬➞印✽	repress	unterdrücken
仰 亻➞人 卬✽	faceup	aufblicken
迎 卬✽ ⻌➞辶	welcome	willkommen heißen
登 癶 豆✽	ascend	erklimmen
澄 氵➞水 登✽	lucidity	klar
発 癶✽ 二 儿➞八 發❄	discharge	hervorbringen
廃 广 発✽ 廢❄	abolish	abgeschafft
僚 亻➞人 尞✽	colleague	Kollege
瞭 ⽬➞目 尞✽	obvious	offensichtlich
寮 宀 尞✽	dormitory	Wohnheim
療 疒 尞✽	heal	therapieren
